Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Action Set Size,Average Iteration Age of Action Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,Total Global Time,Total Matching Time,Total Deletion Time,Total Subsumption Time,Total GA Time,Total Evaluation Time
313,0.82,0,79,87,42,27,167.73333333333332,0,0,0,0,0,60.63691759109497,0.01822066307067871,9.965896606445312e-05,0.0007333755493164062,0.01782846450805664,0.0006341934204101562
314,0.82,0,79,87,42,27,159.6,0,0,0,0,0,60.637123823165894,0.018335342407226562,0.00010013580322265625,0.0007333755493164062,0.01782846450805664,0.0006363391876220703
315,0.8,0,79,87,29,17,200.77777777777777,0,0,0,0,0,60.63728332519531,0.018429994583129883,0.00010037422180175781,0.0007333755493164062,0.01782846450805664,0.0006399154663085938
316,0.8,0,79,87,16,7,226.71428571428572,0,0,0,0,0,60.63739585876465,0.018503427505493164,0.00010061264038085938,0.0007333755493164062,0.01782846450805664,0.0006415843963623047
317,0.8,0,79,87,16,5,221.8,0,0,0,0,0,60.6375048160553,0.01857924461364746,0.0001010894775390625,0.0007333755493164062,0.01782846450805664,0.0006434917449951172
318,0.8,0,79,87,28,13,184.5,0,0,0,0,0,60.637641191482544,0.0186612606048584,0.00010132789611816406,0.0007333755493164062,0.01782846450805664,0.0006453990936279297
319,0.78,0,79,87,26,12,198.66666666666669,0,0,0,0,0,60.63777732849121,0.018745899200439453,0.00010156631469726562,0.0007333755493164062,0.01782846450805664,0.0006473064422607422
320,0.78,0,79,87,44,25,164.5,0,0,0,0,0,60.637964487075806,0.018845558166503906,0.00010180473327636719,0.0007333755493164062,0.01782846450805664,0.0006494522094726562
321,0.78,0,79,87,13,5,213.8,0,0,0,0,0,60.63807463645935,0.018921852111816406,0.00010204315185546875,0.0007333755493164062,0.01782846450805664,0.0006513595581054688
322,0.78,0,79,87,22,13,193.07142857142858,0,0,0,0,0,60.63823175430298,0.019027233123779297,0.00010228157043457031,0.0007333755493164062,0.01782846450805664,0.0006530284881591797
323,0.78,0,79,87,41,21,174.66666666666666,0,0,0,0,0,60.63841247558594,0.019129514694213867,0.00010275840759277344,0.0007333755493164062,0.01782846450805664,0.0006546974182128906
324,0.78,0,79,87,33,18,178.15,0,0,0,0,0,60.638574838638306,0.01922607421875,0.00010323524475097656,0.0007333755493164062,0.01782846450805664,0.0006563663482666016
325,0.8,0,79,87,19,9,229.0,0,0,0,0,0,60.63870072364807,0.019309520721435547,0.00010347366333007812,0.0007333755493164062,0.01782846450805664,0.0006580352783203125
326,0.82,0,79,87,34,16,202.94117647058823,0,0,0,0,0,60.63885807991028,0.019404888153076172,0.00010371208190917969,0.0007333755493164062,0.01782846450805664,0.0006601810455322266
327,0.82,0,79,87,38,27,172.76666666666668,0,0,0,0,0,60.63904070854187,0.01950216293334961,0.00010395050048828125,0.0007333755493164062,0.01782846450805664,0.0006623268127441406
328,0.82,0,79,87,38,23,174.19230769230768,0,0,0,0,0,60.63922739028931,0.01960158348083496,0.00010442733764648438,0.0007333755493164062,0.01782846450805664,0.0006642341613769531
329,0.82,0,81,89,43,13,245.76923076923077,0,1,1,0,0,60.639485120773315,0.019698143005371094,0.0001049041748046875,0.0007646083831787109,0.017895936965942383,0.0006661415100097656
330,0.82,0,81,89,50,27,190.8,0,0,0,0,0,60.639673471450806,0.019797563552856445,0.00010514259338378906,0.0007646083831787109,0.017895936965942383,0.0006682872772216797
331,0.8,0,81,89,17,7,186.625,0,0,0,0,0,60.63978362083435,0.019870519638061523,0.00010538101196289062,0.0007646083831787109,0.017895936965942383,0.0006704330444335938
332,0.8,0,81,89,43,18,224.44444444444446,0,0,0,0,0,60.63995575904846,0.019971132278442383,0.00010561943054199219,0.0007646083831787109,0.017895936965942383,0.0006725788116455078
333,0.8,0,83,91,31,17,162.78947368421052,0,1,0,0,0,60.64020323753357,0.02005934715270996,0.00010585784912109375,0.000797271728515625,0.017955541610717773,0.0006742477416992188
334,0.8,0,83,91,27,15,187.625,0,0,0,0,0,60.640347957611084,0.02014327049255371,0.00010633468627929688,0.000797271728515625,0.017955541610717773,0.0006761550903320312
335,0.8,0,83,91,25,14,196.33333333333334,0,0,0,0,0,60.64048480987549,0.020223617553710938,0.00010657310485839844,0.000797271728515625,0.017955541610717773,0.0006778240203857422
336,0.8,0,85,93,21,16,181.1764705882353,0,1,1,0,0,60.640743255615234,0.02030324935913086,0.0001068115234375,0.0008330345153808594,0.018037796020507812,0.0006797313690185547
337,0.82,0,85,93,31,12,211.23076923076923,0,0,0,0,0,60.64088797569275,0.02039337158203125,0.00010704994201660156,0.0008330345153808594,0.018037796020507812,0.0006818771362304688
338,0.82,0,85,93,32,18,187.1578947368421,0,0,0,0,0,60.64106488227844,0.02048206329345703,0.00010752677917480469,0.0008330345153808594,0.018037796020507812,0.0006840229034423828
339,0.82,0,85,93,42,28,189.0,0,0,0,0,0,60.64126396179199,0.020587444305419922,0.00010776519775390625,0.0008330345153808594,0.018037796020507812,0.0006861686706542969
340,0.82,0,85,93,31,16,187.0,0,0,0,0,0,60.641422271728516,0.020684003829956055,0.00010800361633300781,0.0008330345153808594,0.018037796020507812,0.0006883144378662109
341,0.82,0,87,95,28,9,249.8,0,0,1,0,0,60.641655683517456,0.020773649215698242,0.00010824203491210938,0.0008671283721923828,0.018097877502441406,0.000690460205078125
342,0.82,0,87,95,56,33,193.45945945945945,0,0,0,0,0,60.6418833732605,0.0208895206451416,0.00010848045349121094,0.0008671283721923828,0.018097877502441406,0.0006959438323974609
343,0.82,0,87,95,20,12,168.0,0,0,0,0,0,60.64202284812927,0.020975589752197266,0.0001087188720703125,0.0008671283721923828,0.018097877502441406,0.0006978511810302734
344,0.82,0,87,95,15,7,243.625,0,0,0,0,0,60.6421594619751,0.021062374114990234,0.00010895729064941406,0.0008671283721923828,0.018097877502441406,0.0006999969482421875
345,0.82,0,87,95,30,17,170.11111111111111,0,0,0,0,0,60.642308473587036,0.021147727966308594,0.00010919570922851562,0.0008671283721923828,0.018097877502441406,0.000701904296875
346,0.82,0,89,97,42,16,197.58823529411765,0,0,1,0,0,60.642576456069946,0.021250486373901367,0.00010943412780761719,0.0009028911590576172,0.018157482147216797,0.0007038116455078125
347,0.82,0,89,97,34,20,207.71428571428572,0,0,0,0,0,60.64276051521301,0.021345138549804688,0.00010991096496582031,0.0009028911590576172,0.018157482147216797,0.000705718994140625
348,0.82,0,89,97,29,14,190.26666666666668,0,0,0,0,0,60.64291787147522,0.02144479751586914,0.00011014938354492188,0.0009028911590576172,0.018157482147216797,0.0007078647613525391
349,0.82,0,89,97,15,5,203.0,0,0,0,0,0,60.643035650253296,0.02152729034423828,0.00011038780212402344,0.0009028911590576172,0.018157482147216797,0.0007097721099853516
350,0.82,0,91,99,47,22,206.45833333333334,0,0,1,0,0,60.643320083618164,0.021636009216308594,0.000110626220703125,0.0009388923645019531,0.018211841583251953,0.0007114410400390625
351,0.82,0,91,99,43,24,183.5185185185185,0,0,0,0,0,60.64351534843445,0.021746397018432617,0.00011086463928222656,0.0009388923645019531,0.018211841583251953,0.000713348388671875
352,0.84,0,91,99,26,12,201.66666666666666,0,0,0,0,0,60.643657207489014,0.0218353271484375,0.00011134147644042969,0.0009388923645019531,0.018211841583251953,0.0007154941558837891
353,0.84,0,93,101,32,13,218.66666666666666,0,1,1,0,0,60.64391326904297,0.021932363510131836,0.00011181831359863281,0.000972747802734375,0.01827716827392578,0.0007174015045166016
354,0.84,0,93,101,21,18,207.0,0,0,0,0,0,60.64406371116638,0.022017240524291992,0.00011205673217773438,0.000972747802734375,0.01827716827392578,0.0007193088531494141
355,0.84,0,93,101,50,26,183.93103448275863,0,0,0,0,0,60.64425778388977,0.022125959396362305,0.00011229515075683594,0.000972747802734375,0.01827716827392578,0.0007212162017822266
356,0.84,0,93,101,47,22,205.27272727272728,0,0,0,0,0,60.64444422721863,0.022231340408325195,0.0001125335693359375,0.000972747802734375,0.01827716827392578,0.0007228851318359375
357,0.82,0,93,101,31,14,197.46666666666667,0,0,0,0,0,60.64458990097046,0.02232050895690918,0.00011277198791503906,0.000972747802734375,0.01827716827392578,0.0007245540618896484
358,0.8,0,93,101,40,15,179.76470588235293,0,0,0,0,0,60.64477229118347,0.022425174713134766,0.00011301040649414062,0.000972747802734375,0.01827716827392578,0.0007266998291015625
359,0.8,0,93,101,14,2,179.0,0,0,0,0,0,60.64488220214844,0.02250838279724121,0.00011324882507324219,0.000972747802734375,0.01827716827392578,0.000728607177734375
360,0.8,0,93,101,31,16,199.94117647058823,0,0,0,0,0,60.64504671096802,0.02260422706604004,0.00011348724365234375,0.000972747802734375,0.01827716827392578,0.0007302761077880859
361,0.8,0,93,101,47,27,218.71428571428572,0,0,0,0,0,60.645243644714355,0.022712230682373047,0.00011372566223144531,0.000972747802734375,0.01827716827392578,0.000732421875
362,0.8,0,95,103,21,9,239.8,0,0,1,0,0,60.645503282547,0.022817134857177734,0.00011396408081054688,0.0010128021240234375,0.01834249496459961,0.0007343292236328125
363,0.8,0,95,103,49,29,208.7741935483871,0,0,0,0,0,60.645723819732666,0.022938013076782227,0.00011420249938964844,0.0010128021240234375,0.01834249496459961,0.0007364749908447266
364,0.8,0,95,103,36,22,189.1304347826087,0,0,0,0,0,60.64591383934021,0.023044586181640625,0.00011444091796875,0.0010128021240234375,0.01834249496459961,0.0007388591766357422
365,0.8,0,95,103,41,19,196.1904761904762,0,0,0,0,0,60.64611220359802,0.023166656494140625,0.00011467933654785156,0.0010128021240234375,0.01834249496459961,0.0007407665252685547
366,0.82,0,95,103,22,12,170.33333333333334,0,0,0,0,0,60.64625358581543,0.023256540298461914,0.00011491775512695312,0.0010128021240234375,0.01834249496459961,0.0007426738739013672
367,0.82,0,95,103,56,29,195.875,0,0,0,0,0,60.64648389816284,0.02337789535522461,0.00011515617370605469,0.0010128021240234375,0.01834249496459961,0.0007445812225341797
368,0.82,0,95,103,48,28,213.29032258064515,0,0,0,0,0,60.64668250083923,0.023488998413085938,0.00011539459228515625,0.0010128021240234375,0.01834249496459961,0.0007462501525878906
369,0.82,0,95,103,48,26,203.86206896551724,0,0,0,0,0,60.646872997283936,0.023595571517944336,0.00011563301086425781,0.0010128021240234375,0.01834249496459961,0.0007483959197998047
370,0.82,0,95,103,40,20,222.1904761904762,0,0,0,0,0,60.647045850753784,0.023697853088378906,0.00011587142944335938,0.0010128021240234375,0.01834249496459961,0.0007505416870117188
371,0.82,0,95,103,15,7,196.0,0,0,0,0,0,60.64721918106079,0.023786544799804688,0.00011610984802246094,0.0010128021240234375,0.01838541030883789,0.0007541179656982422
372,0.82,0,95,103,26,13,201.85714285714286,0,0,0,0,0,60.647361040115356,0.02387261390686035,0.0001163482666015625,0.0010128021240234375,0.01838541030883789,0.0007560253143310547
373,0.82,0,95,103,39,12,224.16666666666666,0,0,0,0,0,60.647520780563354,0.023975133895874023,0.00011658668518066406,0.0010128021240234375,0.01838541030883789,0.0007576942443847656
374,0.8,0,95,103,38,20,205.52173913043478,0,0,0,0,0,60.64768981933594,0.02407526969909668,0.00011682510375976562,0.0010128021240234375,0.01838541030883789,0.0007596015930175781
375,0.8,0,95,103,25,14,197.26666666666668,0,0,0,0,0,60.64785432815552,0.024181365966796875,0.00011706352233886719,0.0010128021240234375,0.01838541030883789,0.0007615089416503906
376,0.8,0,97,105,49,26,233.17857142857142,0,0,1,0,0,60.64817953109741,0.024294137954711914,0.00011730194091796875,0.0010535717010498047,0.01846170425415039,0.0007634162902832031
377,0.82,0,97,105,21,8,250.66666666666669,0,0,0,0,0,60.648316860198975,0.024385929107666016,0.00011777877807617188,0.0010535717010498047,0.01846170425415039,0.0007655620574951172
378,0.82,0,97,105,46,27,214.7,0,0,0,0,0,60.64851903915405,0.02449822425842285,0.00011801719665527344,0.0010535717010498047,0.01846170425415039,0.0007677078247070312
379,0.82,0,97,105,28,16,221.7058823529412,0,0,0,0,0,60.648680686950684,0.024599313735961914,0.000118255615234375,0.0010535717010498047,0.01846170425415039,0.0007698535919189453
380,0.82,0,97,105,44,24,205.74074074074073,0,0,0,0,0,60.64888548851013,0.024709224700927734,0.00011849403381347656,0.0010535717010498047,0.01846170425415039,0.0007715225219726562
381,0.82,0,97,105,36,17,222.55555555555554,0,0,0,0,0,60.64911913871765,0.024806737899780273,0.00011873245239257812,0.0010535717010498047,0.0185091495513916,0.0007731914520263672
382,0.82,0,97,105,31,11,179.36363636363637,0,0,0,0,0,60.64927792549133,0.02491164207458496,0.00011897087097167969,0.0010535717010498047,0.0185091495513916,0.0007753372192382812
383,0.82,0,97,105,44,27,211.53333333333333,0,0,0,0,0,60.649479389190674,0.0250244140625,0.00011920928955078125,0.0010535717010498047,0.0185091495513916,0.0007772445678710938
384,0.82,0,97,105,16,6,194.16666666666666,0,0,0,0,0,60.64959502220154,0.02510380744934082,0.00011944770812988281,0.0010535717010498047,0.0185091495513916,0.0007791519165039062
385,0.82,0,97,105,23,10,217.63636363636363,0,0,0,0,0,60.6498007774353,0.02519989013671875,0.00011968612670898438,0.0010535717010498047,0.018568038940429688,0.0007812976837158203
386,0.82,0,97,105,43,16,245.1875,0,0,0,0,0,60.64998149871826,0.02530837059020996,0.0001201629638671875,0.0010535717010498047,0.018568038940429688,0.0007836818695068359
387,0.82,0,99,107,34,22,235.47826086956522,0,0,1,0,0,60.65029978752136,0.025415658950805664,0.00012040138244628906,0.0010936260223388672,0.018647193908691406,0.0007855892181396484
388,0.82,0,99,107,25,13,229.69230769230768,0,0,0,0,0,60.65045785903931,0.02551555633544922,0.00012063980102539062,0.0010936260223388672,0.018647193908691406,0.0007877349853515625
389,0.82,0,99,107,34,11,235.0909090909091,0,0,0,0,0,60.6506187915802,0.02562236785888672,0.00012087821960449219,0.0010936260223388672,0.018647193908691406,0.000789642333984375
390,0.82,0,99,107,45,28,217.2258064516129,0,0,0,0,0,60.650827407836914,0.025739431381225586,0.00012111663818359375,0.0010936260223388672,0.018647193908691406,0.0007917881011962891
391,0.82,0,99,107,31,16,200.8125,0,0,0,0,0,60.65099596977234,0.025841712951660156,0.00012135505676269531,0.0010936260223388672,0.018647193908691406,0.0007939338684082031
392,0.82,0,99,107,25,20,231.9047619047619,0,0,0,0,0,60.6511607170105,0.025935888290405273,0.00012159347534179688,0.0010936260223388672,0.018647193908691406,0.0007958412170410156
393,0.82,0,99,107,32,17,230.3684210526316,0,0,0,0,0,60.651349782943726,0.026047229766845703,0.00012183189392089844,0.0010936260223388672,0.018647193908691406,0.0007979869842529297
394,0.82,0,101,109,41,16,206.35294117647058,0,1,0,0,0,60.65161323547363,0.026147842407226562,0.0001220703125,0.0011315345764160156,0.018704652786254883,0.0007996559143066406
395,0.82,0,101,109,28,15,224.0,0,0,0,0,0,60.651771545410156,0.026244401931762695,0.00012254714965820312,0.0011315345764160156,0.018704652786254883,0.0008015632629394531
396,0.82,0,101,109,57,30,240.6060606060606,0,0,0,0,0,60.65198469161987,0.026361703872680664,0.0001227855682373047,0.0011315345764160156,0.018704652786254883,0.0008034706115722656
397,0.82,0,101,109,43,19,208.25,0,0,0,0,0,60.65216636657715,0.026473045349121094,0.00012302398681640625,0.0011315345764160156,0.018704652786254883,0.0008053779602050781
398,0.82,0,101,109,53,27,201.2,0,0,0,0,0,60.652374267578125,0.026587724685668945,0.0001232624053955078,0.0011315345764160156,0.018704652786254883,0.0008072853088378906
399,0.82,0,101,109,44,14,244.21428571428572,0,0,0,0,0,60.652549505233765,0.026697874069213867,0.00012350082397460938,0.0011315345764160156,0.018704652786254883,0.0008106231689453125
400,0.82,0,103,111,52,28,229.06451612903226,0,0,1,0,0,60.65287923812866,0.026810407638549805,0.00012373924255371094,0.001173257827758789,0.0187838077545166,0.000812530517578125
401,0.82,0,103,111,55,34,214.05405405405406,0,0,0,0,0,60.653125524520874,0.026930570602416992,0.0001239776611328125,0.001173257827758789,0.0187838077545166,0.0008146762847900391
402,0.82,0,103,111,57,34,209.75675675675674,0,0,0,0,0,60.65335512161255,0.02705240249633789,0.00012421607971191406,0.001173257827758789,0.0187838077545166,0.0008168220520019531
403,0.82,0,103,111,35,21,208.72727272727272,0,0,0,0,0,60.65353584289551,0.027154922485351562,0.00012445449829101562,0.001173257827758789,0.0187838077545166,0.0008189678192138672
404,0.82,0,103,111,20,15,232.5625,0,0,0,0,0,60.653777837753296,0.0272519588470459,0.0001246929168701172,0.001173257827758789,0.01886749267578125,0.0008208751678466797
405,0.82,0,103,111,20,8,195.875,0,0,0,0,0,60.65392804145813,0.027354717254638672,0.0001251697540283203,0.001173257827758789,0.01886749267578125,0.0008232593536376953
406,0.82,0,103,111,36,19,210.75,0,0,0,0,0,60.65411019325256,0.027462005615234375,0.00012540817260742188,0.001173257827758789,0.01886749267578125,0.0008256435394287109
407,0.82,0,103,111,34,14,224.6,0,0,0,0,0,60.654271364212036,0.02756357192993164,0.000125885009765625,0.001173257827758789,0.01886749267578125,0.0008275508880615234
408,0.82,0,103,111,16,10,194.9,0,0,0,0,0,60.65440559387207,0.027653932571411133,0.00012636184692382812,0.001173257827758789,0.01886749267578125,0.0008296966552734375
409,0.82,0,103,111,45,15,261.125,0,0,0,0,0,60.65459132194519,0.02777719497680664,0.0001266002655029297,0.001173257827758789,0.01886749267578125,0.0008318424224853516
410,0.82,0,103,111,37,21,236.13636363636363,0,0,0,0,0,60.65476965904236,0.027884721755981445,0.00012683868408203125,0.001173257827758789,0.01886749267578125,0.0008339881896972656
411,0.84,0,103,111,55,32,242.8,0,0,0,0,0,60.65498900413513,0.02800583839416504,0.0001270771026611328,0.001173257827758789,0.01886749267578125,0.0008358955383300781
412,0.84,0,105,113,38,14,246.28571428571428,0,1,1,0,0,60.65528178215027,0.028106689453125,0.00012731552124023438,0.0012135505676269531,0.018955469131469727,0.0008378028869628906
413,0.84,0,105,113,54,29,225.34375,0,0,0,0,0,60.6554970741272,0.028225183486938477,0.00012755393981933594,0.0012135505676269531,0.018955469131469727,0.0008401870727539062
414,0.84,0,105,113,35,20,189.45,0,0,0,0,0,60.655728816986084,0.028325319290161133,0.00012803077697753906,0.0012135505676269531,0.01901078224182129,0.0008425712585449219
415,0.84,0,105,113,53,31,216.41176470588235,0,0,0,0,0,60.6559419631958,0.028441429138183594,0.00012826919555664062,0.0012135505676269531,0.01901078224182129,0.0008449554443359375
416,0.84,0,105,113,28,10,252.27272727272728,0,0,0,0,0,60.656089305877686,0.028540611267089844,0.00012874603271484375,0.0012135505676269531,0.01901078224182129,0.00084686279296875
417,0.84,0,105,113,13,12,255.15384615384616,0,0,0,0,0,60.6562180519104,0.028621673583984375,0.0001289844512939453,0.0012135505676269531,0.01901078224182129,0.0008485317230224609
418,0.84,0,105,113,59,35,230.81578947368422,0,0,0,0,0,60.65645360946655,0.02874588966369629,0.00012946128845214844,0.0012135505676269531,0.01901078224182129,0.000850677490234375
419,0.86,0,105,113,23,3,225.5,0,0,0,0,0,60.656572103500366,0.028833389282226562,0.00012993812561035156,0.0012135505676269531,0.01901078224182129,0.0008523464202880859
420,0.86,0,105,113,33,13,265.1428571428571,0,0,0,0,0,60.656726121902466,0.02893376350402832,0.00013017654418945312,0.0012135505676269531,0.01901078224182129,0.0008544921875
421,0.86,0,106,115,25,11,218.16666666666666,0,0,1,0,0,60.65697169303894,0.029032468795776367,0.00013065338134765625,0.0012519359588623047,0.01906752586364746,0.0008563995361328125
422,0.86,0,106,115,62,32,242.57142857142858,0,0,0,0,0,60.65723156929016,0.02917957305908203,0.00013113021850585938,0.0012519359588623047,0.01906752586364746,0.0008585453033447266
423,0.86,0,106,115,44,23,216.07692307692307,0,0,0,0,0,60.65744757652283,0.029308080673217773,0.00013136863708496094,0.0012519359588623047,0.01906752586364746,0.0008604526519775391
424,0.86,0,106,115,54,29,216.46875,0,0,0,0,0,60.65766978263855,0.02942800521850586,0.0001316070556640625,0.0012519359588623047,0.01906752586364746,0.0008625984191894531
425,0.88,0,106,115,54,29,246.28125,0,0,0,0,0,60.65788745880127,0.029549360275268555,0.00013208389282226562,0.0012519359588623047,0.01906752586364746,0.0008647441864013672
426,0.88,0,106,115,55,34,233.75675675675674,0,0,0,0,0,60.658116579055786,0.02967214584350586,0.0001323223114013672,0.0012519359588623047,0.01906752586364746,0.0008664131164550781
427,0.88,0,108,117,58,27,251.14814814814815,0,0,1,0,0,60.658454179763794,0.029804229736328125,0.00013256072998046875,0.0012929439544677734,0.019132614135742188,0.0008697509765625
428,0.88,0,108,117,30,10,268.75,0,0,0,0,0,60.65860915184021,0.029908418655395508,0.0001327991485595703,0.0012929439544677734,0.019132614135742188,0.0008718967437744141
429,0.88,0,108,117,63,30,242.63333333333333,0,0,0,0,0,60.658864974975586,0.03003859519958496,0.00013303756713867188,0.0012929439544677734,0.019132614135742188,0.0008738040924072266
430,0.86,0,108,117,51,31,225.76470588235293,0,0,0,0,0,60.65908932685852,0.03016185760498047,0.00013327598571777344,0.0012929439544677734,0.019132614135742188,0.0008757114410400391
431,0.86,0,110,119,54,29,242.96774193548387,0,1,1,0,0,60.65944457054138,0.030286312103271484,0.000133514404296875,0.0013408660888671875,0.019211292266845703,0.0008778572082519531
432,0.86,0,110,119,51,25,232.03703703703704,0,0,0,0,0,60.65966081619263,0.0304107666015625,0.00013399124145507812,0.0013408660888671875,0.019211292266845703,0.0008800029754638672
433,0.86,0,110,119,39,20,216.13636363636363,0,0,0,0,0,60.659855127334595,0.030525684356689453,0.0001342296600341797,0.0013408660888671875,0.019211292266845703,0.0008819103240966797
434,0.86,0,110,119,54,26,246.57142857142858,0,0,0,0,0,60.660075187683105,0.030657052993774414,0.00013446807861328125,0.0013408660888671875,0.019211292266845703,0.0008838176727294922
435,0.86,0,110,119,64,35,244.8421052631579,0,0,0,0,0,60.66031360626221,0.03078746795654297,0.0001347064971923828,0.0013408660888671875,0.019211292266845703,0.0008859634399414062
436,0.86,0,110,119,41,20,225.38095238095238,0,0,0,0,0,60.66049146652222,0.03089427947998047,0.00013494491577148438,0.0013408660888671875,0.019211292266845703,0.0008876323699951172
437,0.88,0,110,119,25,9,330.0,0,0,0,0,0,60.66063451766968,0.030994176864624023,0.00013518333435058594,0.0013408660888671875,0.019211292266845703,0.0008897781372070312
438,0.88,0,110,119,28,18,286.36842105263156,0,0,0,0,0,60.66080069541931,0.031093835830688477,0.00013566017150878906,0.0013408660888671875,0.019211292266845703,0.0008919239044189453
439,0.88,0,110,119,51,21,236.77272727272728,0,0,0,0,0,60.66100239753723,0.03121185302734375,0.00013637542724609375,0.0013408660888671875,0.019211292266845703,0.0008938312530517578
440,0.88,0,111,121,30,17,270.57894736842104,0,0,1,0,0,60.66129994392395,0.03134346008300781,0.0001366138458251953,0.0013763904571533203,0.0192716121673584,0.0008959770202636719
441,0.88,0,111,121,33,18,256.42105263157896,0,0,0,0,0,60.66148257255554,0.03145313262939453,0.00013685226440429688,0.0013763904571533203,0.0192716121673584,0.0008978843688964844
442,0.88,0,111,121,41,27,260.5,0,0,0,0,0,60.661694288253784,0.031569480895996094,0.00013756752014160156,0.0013763904571533203,0.0192716121673584,0.0009000301361083984
443,0.88,0,111,121,28,10,281.7,0,0,0,0,0,60.66184449195862,0.03166985511779785,0.00013780593872070312,0.0013763904571533203,0.0192716121673584,0.0009021759033203125
444,0.88,0,111,121,38,26,277.5925925925926,0,0,0,0,0,60.662113428115845,0.031784772872924805,0.0001380443572998047,0.0013763904571533203,0.019333362579345703,0.000904083251953125
445,0.88,0,111,121,57,32,240.3235294117647,0,0,0,0,0,60.66234993934631,0.03191542625427246,0.0001385211944580078,0.0013763904571533203,0.019333362579345703,0.0009062290191650391
446,0.88,0,111,121,19,7,274.375,0,0,0,0,0,60.66248273849487,0.032009124755859375,0.00013875961303710938,0.0013763904571533203,0.019333362579345703,0.0009081363677978516
447,0.88,0,111,121,56,33,236.02777777777777,0,0,0,0,0,60.66272521018982,0.032135725021362305,0.00013899803161621094,0.0013763904571533203,0.019333362579345703,0.0009100437164306641
448,0.88,0,111,121,36,17,259.66666666666663,0,0,0,0,0,60.662901163101196,0.03224778175354004,0.0001392364501953125,0.0013763904571533203,0.019333362579345703,0.0009121894836425781
449,0.88,0,111,121,56,36,246.71794871794873,0,0,0,0,0,60.66313099861145,0.03237128257751465,0.00013947486877441406,0.0013763904571533203,0.019333362579345703,0.0009140968322753906
450,0.88,0,111,121,42,14,298.4375,0,0,0,0,0,60.66330337524414,0.032483816146850586,0.00013971328735351562,0.0013763904571533203,0.019333362579345703,0.0009160041809082031
451,0.88,0,113,123,37,19,240.2,0,0,1,0,0,60.66360855102539,0.032601356506347656,0.00014019012451171875,0.0014231204986572266,0.01939868927001953,0.0009179115295410156
452,0.88,0,113,123,23,11,245.91666666666666,0,0,0,0,0,60.66375517845154,0.032697439193725586,0.00014090538024902344,0.0014231204986572266,0.01939868927001953,0.0009202957153320312
453,0.88,0,115,125,36,12,314.42857142857144,0,0,1,0,0,60.66403341293335,0.032805442810058594,0.000141143798828125,0.0014698505401611328,0.019463300704956055,0.0009222030639648438
454,0.9,0,115,125,59,36,240.15384615384616,0,0,0,0,0,60.66427516937256,0.03293585777282715,0.00014138221740722656,0.0014698505401611328,0.019463300704956055,0.0009243488311767578
455,0.9,0,115,125,44,15,282.9375,0,0,0,0,0,60.66446256637573,0.03305554389953613,0.00014209747314453125,0.0014698505401611328,0.019463300704956055,0.0009276866912841797
456,0.92,0,115,125,54,26,277.57142857142856,0,0,0,0,0,60.664677143096924,0.03318309783935547,0.0001423358917236328,0.0014698505401611328,0.019463300704956055,0.0009295940399169922
457,0.92,0,115,125,38,23,255.8846153846154,0,0,0,0,0,60.66486978530884,0.03330039978027344,0.00014281272888183594,0.0014698505401611328,0.019463300704956055,0.0009315013885498047
458,0.9,0,115,125,43,22,244.30434782608697,0,0,0,0,0,60.66508865356445,0.03342413902282715,0.0001430511474609375,0.0014698505401611328,0.019463300704956055,0.0009334087371826172
459,0.9,0,115,125,38,23,258.375,0,0,0,0,0,60.665292263031006,0.03354454040527344,0.00014352798461914062,0.0014698505401611328,0.019463300704956055,0.0009355545043945312
460,0.9,0,115,125,43,12,317.7692307692308,0,0,0,0,0,60.66547179222107,0.03366541862487793,0.0001437664031982422,0.0014698505401611328,0.019463300704956055,0.0009374618530273438
461,0.9,0,115,125,29,15,186.86666666666667,0,0,0,0,0,60.6656448841095,0.03377962112426758,0.00014400482177734375,0.0014698505401611328,0.019463300704956055,0.0009393692016601562
462,0.9,0,115,125,46,33,269.66666666666663,0,0,0,0,0,60.66587519645691,0.03390908241271973,0.0001442432403564453,0.0014698505401611328,0.019463300704956055,0.0009415149688720703
463,0.9,0,115,125,43,17,304.7368421052631,0,0,0,0,0,60.66606879234314,0.03403043746948242,0.00014472007751464844,0.0014698505401611328,0.019463300704956055,0.0009431838989257812
464,0.9,0,115,125,53,27,247.35714285714286,0,0,0,0,0,60.66639280319214,0.03416705131530762,0.00014495849609375,0.0014698505401611328,0.01955389976501465,0.0009450912475585938
465,0.9,0,115,125,46,19,260.4,0,0,0,0,0,60.66657757759094,0.03427743911743164,0.00014519691467285156,0.0014698505401611328,0.01955389976501465,0.0009469985961914062
466,0.9,0,115,125,51,28,263.25,0,0,0,0,0,60.666800022125244,0.03440380096435547,0.00014543533325195312,0.0014698505401611328,0.01955389976501465,0.0009491443634033203
467,0.9,0,115,125,21,12,229.91666666666666,0,0,0,0,0,60.666945695877075,0.034499168395996094,0.0001456737518310547,0.0014698505401611328,0.01955389976501465,0.0009512901306152344
