N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,Action,Fitness,Prediction,Prediction Error,Accuracy,Numerosity,Avg Action Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Experience,Match Count
"-1.1176070573964283,0.16469602493546215",#,"-2.920521553600178,0.5875843420963309","-1.395042374989549,1.9509553456022746",#,"-3.964775452419886,1.6109780479684324","-2.688300572407724,2.8091069024867004","-2.599170548261492,2.658914016578619",#,#,0,0.00012036165983569003,546.0307140284054,430.8837397564119,6.732858275192053e-10,1,121.15251850476143,4982,66,0.6,0.0008276496433111617,745,2232
"-1.0501174214842235,0.1404095828905907","-2.0263811900323385,0.7389942519738115",#,#,#,#,#,#,#,#,1,1.7778321100627565e-05,988.4903080109061,40.551371570227154,9.119525882190256e-05,1,145.31263751598982,4985,78,0.2,0.005910007178132609,1851,2678
"-1.5805761328706307,0.2842151128984388",#,#,"-2.935693770748367,2.166952753154164",#,"-3.021186398508016,0.6673889940565629",#,"-3.4081294620473215,1.467173333277095","-2.3254479866535696,5.480761452428588","-3.70663807051699,2.715936454190438",1,3.127954837826384e-05,861.4537417821846,259.8522096050664,8.440495242409514e-09,1,141.8082729607818,4985,78,0.6,0.0012903247731042467,1648,2606
"-1.5805761328706307,0.2842151128984388",#,"-3.643153513176057,1.8743303070504949","-0.23883904350392982,2.772558905028711","-2.9030170225466887,1.029221293441077",#,#,"-3.4081294620473215,2.3704375783086684",#,"-3.70663807051699,2.715936454190438",1,0.0002777487532920016,775.7096544155145,232.55381884270986,1.4702210009312201e-08,1,147.0025720898537,4998,86,0.6,0.0002821954455548979,1195,1863
#,#,#,"-2.935693770748367,2.166952753154164",#,#,#,#,"-2.3254479866535696,5.480761452428588",#,1,6.389881518130278e-06,681.73117240105,357.3532017188188,1.715977592012546e-09,2,137.0432612702832,4998,86,0.2,0.015170078638929415,2404,4684
#,#,#,"-2.935693770748367,2.166952753154164",#,#,#,#,"-2.3254479866535696,5.480761452428588","2.19499086938735,7.126610593716267",1,0.01044729739977596,164.69496222973953,298.0787417985843,4.249569908421355e-09,1,112.33511465296593,4998,95,0.3,6.655259000090508e-06,21,69
#,"0.12580614592918837,2.847050551497081","-1.3282086510378885,1.4660210185682068","-2.8650391915335525,4.352643832706456","-0.8897841606009262,2.958789510365823","-2.117117414167619,2.815085708817577",#,"-4.599870145348845,2.319085757981988",#,#,0,0.011997071356839476,983.6566464023911,60.50711006894663,1.2330138258324049e-05,2,112.37948801947915,4999,98,0.6,1.3076112957657062e-05,622,1091
"-0.4182848791570907,0.7965285672625948","-0.16747415192637072,2.3444437609055298",#,#,#,#,#,"-0.5443302815317121,6.497773756159112","-2.6891514116357977,0.5634358546484348",#,1,0.00016084248070973758,6.3851786051000285,26.59942841521281,0.0007509974775017993,1,133.7254657807628,4939,126,0.4,0.0006836213386032695,89,331
#,#,#,#,#,#,"-1.7623960493064572,3.396709427132925",#,"-4.129203192909825,5.480761452428588",#,1,2.5525344378579296e-06,678.13229110624,363.7876924572903,1.5694951920913557e-09,1,136.6369636016588,4998,132,0.2,0.009363227312135125,2380,4707
#,#,#,"-2.935693770748367,2.166952753154164",#,"-3.411180158287622,0.7062993496914431",#,"-3.029748816945262,2.603934413207397","-2.3254479866535696,2.3759713396586397",#,1,4.790464968441413e-06,871.3396317068493,247.57865013620366,1.0750633248141388e-08,1,141.34842148877067,4985,132,0.4,0.008348564416646448,1905,3515
