N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,Action,Fitness,Prediction,Prediction Error,Accuracy,Numerosity,Avg Action Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Experience,Match Count
#,#,"-2.8702643947255506,1.5743753493458383",#,"-0.0026132911356775423,1.2064593051190904","0.4561555762480214,1.6970309627683529","-2.688300572407724,2.8091069024867004",#,"-2.892314844190147,2.637083508493048","-4.019297005504104,3.7795434887834864",1,0.00021377145493625552,501.0973699865296,428.5822508524366,6.915587699527308e-10,2,141.6844161221498,4998,920,0.6,0.001392151022416597,198,417
"0.7057881186119959,2.129301946693614","-3.0765979479840495,0.7959421676317979",#,"-3.3143499019047233,2.8757458811901504","-2.140126495721561,1.2064593051190904",#,"-2.688300572407724,3.083994118515716","-3.5599827520805927,4.132161658320153",#,#,1,0.0047119225595426886,1.2429879941732231,7.518339672853807,1.0,1,130.8515226841368,4951,926,0.6,7.886791362102196e-06,168,714
"0.9220976816502382,2.373124853762641",#,#,"-0.3482581873392485,2.8757458811901504","-1.1682438033887335,3.182317737704113",#,"-2.688300572407724,-0.628052705536899","-3.5599827520805927,4.132161658320153",#,#,1,0.0023927932180821624,16.994211652987623,58.80131716962119,1.4225407871308334e-05,1,139.8077069049869,4676,926,0.5,8.42660591604441e-06,29,111
"-0.6277190756773812,0.31713582709348553",#,"-1.3282086510378885,2.673593986351743",#,#,#,#,"-4.599870145348845,1.7344319364713225",#,#,1,0.0023874168114586293,192.6040824556166,301.56238809422484,4.009720774857594e-09,1,108.05542567789045,4998,948,0.3,5.911956960273013e-06,352,907
"-0.6277190756773812,0.31713582709348553",#,"-1.3282086510378885,2.673593986351743","-2.8650391915335525,4.352643832706456",#,#,#,"-4.599870145348845,1.7344319364713225","-3.689782801950547,1.8396155507326482",#,0,0.0003612010006599378,876.3914131272118,209.04766239988285,2.504802119738942e-08,1,100.32507269123286,4982,948,0.5,0.00017784596535272516,513,848
"-1.3452845581345745,-0.6277190756773812","-2.139148345923748,0.6867593060121407","-1.3282086510378885,2.673593986351743","-2.8650391915335525,4.352643832706456","-2.534703504947092,1.8158580361457548","-0.8031763977304599,1.34134417934197",#,#,"-3.8250924556854105,3.7642778323111323",#,0,0.21730888786425995,5.066785200101772e-14,1.6744870934083245e-12,1.0,12,180.6590389726021,4976,957,0.7,0.0001313275967680355,344,1405
"1.1034503496149077,2.790691247420027","-2.4177683498766065,-0.1675085529646949",#,#,"0.3491978499794215,2.8591372006099096",#,#,#,#,#,0,0.02954305240087541,1000.0,0.0,1.0,1,154.0899388019292,4952,962,0.3,9.287436427189853e-06,190,263
"0.8364239705343662,2.0174925989979497",#,"-3.039725554132545,1.8647045082910567",#,#,#,#,#,#,#,0,0.0024565196374560063,996.3971202981008,15.85267068842389,0.009988213340297791,6,127.59694826023609,4999,962,0.2,0.0015144113916755325,731,945
"-0.4182848791570907,0.7965285672625948",#,#,#,#,#,#,#,"-2.6891514116357977,1.2960367865271802","-3.70663807051699,2.715936454190438",1,0.138176814175234,160.0172616913834,160.15275460238848,9.49134884379713e-08,9,119.53627616039428,4998,964,0.3,6.165374538064779e-05,169,637
"-0.4182848791570907,0.7965285672625948",#,#,#,#,#,#,#,"-2.6891514116357977,0.5634358546484348","-3.70663807051699,-2.2241766558138996",1,0.26694039652019375,0.0,0.0,1.0,1,94.21696,3806,964,0.3,5.678722654876763e-06,9,18
"0.7457644104934167,3.2366494653196742","-3.0765979479840495,0.7959421676317979","-3.9419283216169836,0.5027114224544056",#,#,"-3.6050951888272045,-0.17386226551131667",#,#,"-3.0551562106893164,1.8237246887370326",#,1,0.00027144362989691133,6.393488907478611,28.886552102506172,0.0004971889434205267,1,134.7616554882173,4885,981,0.5,0.00040821497929997364,63,232
"0.7457644104934167,3.2366494653196742",#,#,#,#,"-3.6050951888272045,-0.17386226551131667",#,#,"-3.0551562106893164,0.32544716857675837",#,1,5.8482818568929565e-05,3.4992227985778066,17.478964823397646,0.006129449316499672,1,133.48054368038152,4885,981,0.3,0.001876687345288434,72,281
"-1.7720630163964335,0.6913086943990401","-0.4651447795845649,1.366462031855363","-2.757227967323857,0.38467254141626306","-0.4052416847636229,3.1917058648725876","0.5165371109260288,2.7754825264934686","-2.696280889164232,0.3918287418200668",#,#,"-0.6742739527914051,2.2530545868644043","-2.469506306673566,5.673400680009065",1,0.0001241863881852656,996.1440173154289,17.57574527766833,0.005962539251084928,1,176.1487008307639,4436,987,0.8,0.001166293088268464,79,128
"0.8364239705343662,2.0174925989979497",#,#,"-2.8650391915335525,4.352643832706456","0.3491978499794215,2.8591372006099096",#,#,#,"-3.8250924556854105,4.054180511422353",#,0,0.03653039033292787,999.9999999999998,2.2737367544371244e-13,1.0,1,146.43787222072976,4999,998,0.4,9.104050408585693e-06,295,394
"-0.4182848791570907,0.7965285672625948","-0.16747415192637072,2.3444437609055298",#,#,#,"-2.178196513096376,0.8241322948050265",#,"-3.153813806570385,6.497773756159112",#,#,1,0.0007747898610292109,22.119567395152384,63.838243700708915,9.431816621620696e-06,1,113.13742742749501,4939,1007,0.4,9.184263386766524e-05,110,430
"-1.1116274524501306,0.26563603720624884","-1.8301833124631424,5.6566268416007475","-3.438409043855395,0.5994328016376627",#,"-2.6571428822818106,3.5373636738785263",#,"-3.14379163245686,3.114795338961407","-2.1407542838823854,2.070841158094461",#,"-3.184058177377609,3.3532051781281664",0,7.575635181832829e-05,551.8673343766618,435.14957407587946,6.40924961753811e-10,1,120.6958066730643,4982,1008,0.7,0.0013100123297087333,731,1979
"-1.1116274524501306,0.26563603720624884","-1.8301833124631424,5.6566268416007475","-3.438409043855395,2.673593986351743",#,#,"-1.668031071890809,2.4494484360882565","-3.14379163245686,3.114795338961407","-2.224909318605355,3.7337940979022664",#,"-3.184058177377609,3.3532051781281664",0,4.18307251955772e-05,661.3611780365665,415.5482242554378,8.070358847641154e-10,1,115.70427882730789,4982,1021,0.7,0.0011811287713445744,996,2637
#,#,#,#,#,"-2.8677806434643247,1.163918041431844",#,"-3.5599827520805927,4.132161658320153",#,"-2.5770976603840845,2.927966217936567",1,6.6275242382362524e-06,695.4600445397718,339.8119678454063,2.2070219316072692e-09,1,136.5793229581413,4998,1038,0.3,0.004764923272545477,1795,3481
"-1.3452845581345745,0.26563603720624884","-2.139148345923748,0.9169197447425943","-2.663169725230198,2.547787216094879",#,#,"-0.8031763977304599,1.34134417934197",#,"-1.5043808918101116,2.070841158094461",#,#,0,0.10095446747404455,27.60325304873475,83.4467828316849,2.4714510390484587e-06,1,157.49979920561788,4926,1042,0.5,9.199125294225768e-06,498,1771
"0.8364239705343662,2.0174925989979497",#,#,#,"0.3491978499794215,2.8591372006099096","-1.668031071890809,2.4494484360882565",#,#,#,#,1,0.24292023253343642,0.004460149039706126,0.04638555001294369,1.0,16,137.22936697649826,4951,1049,0.3,0.00013233923321895975,93,357
"0.7258853651651965,1.9069539936287798","-1.0417995909752158,2.569082408720642","-2.590787679414203,-0.2918360876531392",#,#,#,#,"-3.348122950635161,1.635519906807576",#,"-0.3917149222551941,3.16363883249356",1,0.09824634114864514,0.0,0.0,1.0,1,132.726234239589,4988,1059,0.5,7.99978552983278e-06,23,99
"-0.7697895102747482,0.31713582709348553","0.11592188891091926,5.6566268416007475","-1.3282086510378885,0.5994328016376627","-2.8650391915335525,3.8731192824077887","-2.6571428822818106,0.27111969345375964",#,#,"-2.1407542838823854,1.7344319364713225",#,#,0,0.09169093278845819,871.7517216513543,155.19265191024152,1.1108213753728313e-07,1,103.94580357735224,4982,1060,0.6,6.265107573562978e-06,143,218
"-0.6277190756773812,0.5462583900132446",#,"-3.385416624081514,2.673593986351743","-2.066026671642698,4.352643832706456",#,#,#,"-4.599870145348845,3.601269008388594",#,#,0,0.0006767520041251242,797.1373462761206,296.14764871220797,4.389939707980208e-09,1,97.27031330749648,4982,1060,0.4,9.120968529171576e-05,666,1075
"0.7057881186119959,2.129301946693614",#,"-2.62311310068182,2.2040950297793107","-3.3143499019047233,2.8757458811901504",#,#,#,#,#,"-1.7281656559355292,2.2859434220066137",1,0.02599739197292408,0.19698051006314266,1.5047319789253866,1.0,2,123.85886536912254,4988,1061,0.4,1.4930648256512778e-05,217,898
"-1.3452845581345745,-0.6277190756773812","-2.139148345923748,0.6867593060121407",#,"-2.8650391915335525,4.352643832706456",#,"-0.8031763977304599,1.34134417934197",#,#,"-3.8250924556854105,3.7642778323111323",#,0,0.018244241948636827,1.0625813702396483e-14,3.6604131442587475e-13,1.0,1,180.40447060592743,4976,1080,0.5,1.0924786953011058e-05,347,1435
"-0.9054222390069813,0.6897015154265664","-1.3451984914251205,2.1610202619027414","-2.8702643947255506,1.5743753493458383",#,#,"0.4561555762480214,1.6970309627683529","-2.688300572407724,2.8091069024867004",#,"-2.892314844190147,2.637083508493048",#,1,0.001856866915339691,790.4238785598781,195.88404221242413,3.4674061318149e-08,1,137.90612393382713,4998,1085,0.6,8.165661440817959e-06,385,609
"-1.5805761328706307,0.2842151128984388","-2.139148345923748,0.6867593060121407",#,#,#,#,"-0.63670489214139,2.746315092409025","-2.717787236416353,2.8075559316179857","-3.4655671893539464,4.3406422497282104",#,1,7.06604843326542e-05,970.7973567587653,80.3378482538073,2.988126797890216e-06,1,145.3268041865271,4969,1085,0.5,0.0005798895740850992,1097,1585
"-1.5447288604668918,-0.19493614222279665",#,"-2.373009311636343,2.608052470512628",#,#,#,#,#,"-2.892314844190147,4.3406422497282104",#,1,8.223455714808324e-05,932.0548340924025,130.0615386342319,2.6869251157151225e-07,1,144.2137332383304,4985,1106,0.3,0.00039755413517687,1570,2414
"-1.5805761328706307,0.6897015154265664","-2.139148345923748,2.1610202619027414","-2.8702643947255506,1.5743753493458383",#,#,"0.4561555762480214,1.6970309627683529","-2.688300572407724,2.8091069024867004","-2.717787236416353,2.8075559316179857",#,#,1,0.004013796508873761,989.1832030107047,42.38698456676599,7.308653815254581e-05,1,142.52517145688313,4902,1106,0.6,8.176398784472921e-06,427,657
"0.7057881186119959,2.129301946693614",#,"-4.111208720399128,2.2040950297793107",#,"-2.140126495721561,1.2064593051190904",#,"-2.688300572407724,3.083994118515716","-5.989021331378873,-0.7886983496994953",#,#,1,2.3302380220130555e-05,153.24395585924165,241.81130490840746,1.2095309802141683e-08,1,137.67968942909084,4754,1125,0.5,0.004858160372534023,37,191
"-0.4182848791570907,0.1404095828905907","-0.16747415192637072,2.3444437609055298",#,#,"-1.7279400452482245,2.371627560781573",#,#,"-3.4081294620473215,6.497773756159112",#,#,1,0.004061971908147312,7.3581224207072635,28.764343713179503,0.0005078408733064143,1,125.99548570044784,4998,1134,0.4,7.601485331809464e-06,113,422
#,"-0.16747415192637072,2.3444437609055298",#,#,#,#,#,"-3.4081294620473215,6.497773756159112",#,#,1,0.00011328639511009803,504.08289166380473,439.0925222914635,6.126603774741344e-10,1,130.0624857279575,4998,1134,0.2,0.00041013741857252916,751,1824
"-1.0650290182907574,0.6897015154265664",#,#,"-3.397406509691031,2.8757458811901504",#,"-3.021186398508016,1.6970309627683529",#,"-3.4081294620473215,4.132161658320153",#,#,1,7.202260451517654e-06,719.0434788674562,314.246870552907,3.263211274747622e-09,1,138.72353868373716,4998,1142,0.4,0.0035570386164667576,1622,2693
"-0.6121745616640742,0.8388526104483282","-0.8511438947395449,0.9169197447425943",#,#,"0.03678443949144494,4.136352045521242",#,"-4.05468591580726,2.1193255559972464","-1.5043808918101116,2.070841158094461","-3.8250924556854105,5.480761452428588",#,0,0.00042545003628098957,556.6979358909624,422.11548749032204,7.461799341639536e-10,1,106.27356720426957,4631,1153,0.6,0.00016248496096948496,143,224
"-1.1116274524501306,0.26563603720624884","-1.8301833124631424,1.3991159021723665","-3.438409043855395,2.673593986351743",#,"-2.3191614775926137,3.5373636738785263",#,"-3.14379163245686,3.114795338961407",#,#,#,0,0.00010534045751525435,494.8733774093906,415.52585225598114,8.072531630700589e-10,1,124.16860692839478,4976,1153,0.5,0.0005350955166381653,801,2305
"-1.3452845581345745,0.26563603720624884","-1.8301833124631424,0.6867593060121407","-3.438409043855395,2.673593986351743",#,#,#,"-3.14379163245686,3.114795338961407",#,"-3.8250924556854105,3.7642778323111323",#,0,0.00010459535052869462,494.8803923507436,415.335516560535,8.091045576181914e-10,1,124.2868750639785,4976,1156,0.5,0.0005398371178520554,668,2102
"-1.1116274524501306,0.26563603720624884","-2.139148345923748,1.3991159021723665","-2.663169725230198,2.673593986351743",#,#,"-0.8031763977304599,1.34134417934197","-3.14379163245686,3.114795338961407",#,#,#,0,0.0012646505025000552,266.7412967472386,288.0183966697027,5.045437814060809e-09,1,134.11219642895568,4976,1167,0.5,8.531637347593728e-06,572,1862
"-1.3452845581345745,0.26563603720624884",#,"-3.438409043855395,2.547787216094879",#,"-2.3191614775926137,3.5373636738785263","-2.3036826625227906,1.4706735531246857",#,"-1.5043808918101116,2.070841158094461",#,#,0,7.070298288493619e-05,504.52191094507634,440.51782316523014,6.028129556908074e-10,1,128.30190307886943,4982,1167,0.5,0.0010804113695519406,893,2406
"-1.5805761328706307,0.1404095828905907","-2.0263811900323385,0.7389942519738115",#,#,#,"-1.7848844598274947,0.8743210557423183",#,#,#,#,1,0.2221234117464147,998.9348402289478,6.302472483044113,1.0,1,144.23249475036093,4985,1170,0.3,9.182732373531853e-06,1268,1812
"0.7057881186119959,2.129301946693614",#,"-4.111208720399128,2.2040950297793107","-3.3143499019047233,2.8757458811901504","-2.140126495721561,1.2064593051190904",#,#,"-3.5599827520805927,4.132161658320153",#,#,1,0.010345207026820659,0.4857827476987667,3.329528203026475,1.0,1,124.95925648098014,4988,1177,0.5,7.531647812825821e-06,183,799
"-0.7697895102747482,-0.6277190756773812","-2.139148345923748,0.6867593060121407",#,"-2.8650391915335525,3.8731192824077887","-2.6571428822818106,0.27111969345375964",#,#,"-1.668331007981907,4.723732656998995","-3.8250924556854105,3.7642778323111323",#,0,0.0003844409633836938,17.394953708631707,52.989790827592145,2.39353054504038e-05,2,203.1993595320976,4788,1192,0.6,0.0017384208534680361,90,356
"-0.7697895102747482,-0.6277190756773812","-2.139148345923748,0.6867593060121407",#,"-2.8650391915335525,3.8731192824077887","-2.6571428822818106,0.27111969345375964",#,#,#,"-3.8250924556854105,3.7642778323111323","-2.4044958182113714,5.853099999269606",0,0.00012814915196512767,17.394953708631707,52.989790827592145,2.39353054504038e-05,1,203.1993595320976,4788,1192,0.6,0.0013037936213877955,90,357
"0.7057881186119959,2.129301946693614","-2.749978066522945,-0.08106528413905045","-4.111208720399128,2.2040950297793107","-3.3143499019047233,2.8757458811901504","-2.6121752719572244,1.7383862691356222",#,"-2.688300572407724,3.083994118515716","-3.5599827520805927,4.132161658320153",#,#,1,0.07000942698109607,0.2808256094980458,1.9561964794577649,1.0,6,129.41618802874882,4951,1197,0.7,4.6801678097020756e-05,139,540
"0.7057881186119959,2.129301946693614",#,#,#,"-2.140126495721561,1.2064593051190904",#,"-2.688300572407724,3.083994118515716","-3.5599827520805927,4.132161658320153",#,#,1,0.020690461376026537,0.48577088252161105,3.329389407475234,1.0,2,124.95925330016985,4988,1197,0.4,1.5063295242218776e-05,183,826
"-0.4182848791570907,0.8323835570417476","-0.16747415192637072,2.3444437609055298",#,#,#,#,#,"-3.4081294620473215,6.497773756159112",#,#,1,0.04488004509134897,2.948449579687167,13.765452749590068,0.0202324045330758,1,118.90593506215872,4998,1262,0.3,6.933817724801851e-06,134,552
"-1.3452845581345745,-0.6277190756773812","-2.139148345923748,0.9169197447425943","-1.3282086510378885,2.547787216094879","-2.8650391915335525,4.352643832706456",#,"-0.8031763977304599,1.34134417934197",#,"-1.5043808918101116,2.070841158094461",#,#,0,0.07077547126290251,6.315484620228079e-14,2.074070907848718e-12,1.0,5,185.98497931300818,4926,1282,0.6,5.6726141285293014e-05,317,1311
"0.8364239705343662,2.0174925989979497",#,#,#,#,#,#,#,#,#,0,0.02189795190329456,997.6941569907858,11.068046444240041,0.06020674324410924,17,126.51955598416019,4999,1283,0.1,0.0017138579988403189,713,916
"-1.0501174214842235,0.1404095828905907","-2.0263811900323385,0.7389942519738115",#,"-2.935693770748367,1.4385271741408472","-5.05317374786951,1.2064593051190904",#,#,"-3.4081294620473215,1.467173333277095",#,"-4.347459175847065,2.6485595028520974",1,3.8165561280445723e-05,981.5660816822372,58.24710102059943,1.4915177420506728e-05,1,146.38485341687422,4985,1302,0.6,0.0014298188764697488,1233,1726
"-1.5805761328706307,0.1404095828905907","-2.0263811900323385,0.22387860687957295",#,"-3.0910592128425805,2.680786855178316",#,"-1.8647167051885445,4.397283379862951",#,#,"-2.3254479866535696,5.480761452428588",#,1,0.1307020425873035,998.5238578974438,7.67900117801495,1.0,1,144.085611036519,4985,1302,0.5,8.965231675469292e-06,1178,1680
"0.7057881186119959,2.129301946693614",#,"-2.5470715931935533,2.2040950297793107","-3.3143499019047233,2.8757458811901504",#,#,#,"-3.5599827520805927,4.132161658320153",#,#,0,0.0013015232258780003,997.6941569907851,11.068046444263206,0.06020674324347916,1,121.1181024344142,4999,1309,0.4,9.388982847150429e-05,705,914
"-1.1116274524501306,0.26563603720624884","-2.139148345923748,1.3991159021723665","-2.663169725230198,2.673593986351743",#,#,"-0.8031763977304599,1.34134417934197","-3.14379163245686,3.114795338961407",#,"-5.386514439704332,1.3354992439497484",#,0,0.0005764661269991819,282.7218506829933,300.78600579132865,4.061737632916888e-09,1,138.07087275860857,4976,1314,0.6,0.00013486346240486924,505,1695
"-1.3452845581345745,-0.6277190756773812",#,#,#,#,#,#,"-1.5043808918101116,2.070841158094461","-3.8250924556854105,3.7642778323111323",#,0,0.010084001566027965,128.0734007765004,154.18900497182582,1.1474478880104116e-07,2,180.17568498211682,4965,1321,0.3,2.1815100014457274e-05,385,1547
"-0.7697895102747482,0.26563603720624884","-2.139148345923748,0.9169197447425943","-2.663169725230198,2.547787216094879","-2.8650391915335525,3.8731192824077887","-2.6571428822818106,0.27111969345375964","-0.8031763977304599,1.34134417934197",#,#,"-4.831654856756361,1.8903588268977192",#,0,0.00014571740166330197,516.1912870135226,428.42503989362064,6.928285421032164e-10,1,109.67863943700634,4788,1321,0.7,0.0005331195424217078,130,445
#,"0.12580614592918837,1.3991159021723665","-2.663169725230198,2.673593986351743","-2.8650391915335525,4.352643832706456",#,"-0.8031763977304599,2.815085708817577","-3.14379163245686,3.114795338961407","-4.599870145348845,2.319085757981988","-5.386514439704332,1.3354992439497484",#,0,0.00024320600235942498,608.9696298504991,418.41622822947176,7.79753618381787e-10,1,110.49344386748298,4986,1328,0.7,0.0003735635333463157,300,573
"-1.1116274524501306,0.26563603720624884","-2.139148345923748,2.847050551497081",#,#,"-0.8897841606009262,2.958789510365823","-2.117117414167619,1.34134417934197",#,#,#,#,0,7.553980251151937e-05,572.4328717170274,438.85115105218904,6.143470695592667e-10,2,122.12245798687877,4982,1328,0.4,0.003422338967886596,774,2057
#,#,"-2.8702643947255506,1.5743753493458383",#,"-0.0026132911356775423,1.2064593051190904","0.4561555762480214,1.6970309627683529","-2.688300572407724,2.8091069024867004",#,"-2.892314844190147,2.637083508493048",#,1,0.00010688572746812809,501.0973699865296,428.58225085243663,6.915587699527308e-10,1,141.6844161221498,4998,1349,0.5,0.0006960755112082964,178,375
"-0.4182848791570907,0.7965285672625948",#,#,#,#,#,#,"-0.5443302815317121,6.497773756159112","-2.6891514116357977,1.2960367865271802",#,1,0.08130418229809315,200.20678166428203,161.38566633746768,9.134298534096685e-08,3,109.7238141956923,4970,1351,0.3,1.905913041102273e-05,112,426
"-0.4182848791570907,0.7965285672625948","-0.16747415192637072,2.3444437609055298","-0.26943359500623276,1.9528862770294617",#,#,#,#,#,#,"-3.70663807051699,2.715936454190438",1,0.3117448517570207,0.0,0.0,1.0,12,131.7839871403726,4998,1351,0.4,9.775949936014744e-05,86,307
"0.7057881186119959,2.129301946693614",#,"-2.5470715931935533,2.2040950297793107","-3.3143499019047233,2.8757458811901504",#,#,#,"-3.5599827520805927,4.132161658320153",#,#,1,0.014072531466223413,0.07493042550591371,0.6344527578751243,1.0,1,123.9166543618168,4988,1364,0.4,7.468807234291813e-06,207,902
"-1.3452845581345745,-0.6277190756773812","-0.17301196427570997,1.8155897167162116",#,#,#,#,#,"-1.5043808918101116,2.070841158094461","-3.8250924556854105,3.7642778323111323",#,0,0.00015020147784247488,240.88980637356218,260.57049148077823,8.324800590732602e-09,1,182.30476892103712,4965,1365,0.4,0.000997989742570854,139,525
"-1.1116274524501306,0.26563603720624884","-2.139148345923748,2.847050551497081",#,#,"-4.84022372996128,2.958789510365823","-2.117117414167619,1.34134417934197",#,#,#,#,0,5.8508348391284466e-05,560.6614134107846,436.2278911915919,6.330424761576986e-10,1,116.79368518529563,4982,1375,0.4,0.001029752320777914,918,2393
"-1.0501174214842235,0.09720638902325746","-0.8309544435461265,0.7389942519738115","-1.9412024767747833,1.5072249108668117",#,#,"-3.021186398508016,0.6673889940565629",#,"-3.4081294620473215,1.467173333277095","-2.3254479866535696,5.480761452428588",#,1,0.0014203601954988958,994.9144117892092,23.000335058148032,0.001553564134874954,1,151.23641534469314,4985,1380,0.6,9.485098767247666e-06,810,1131
"-1.0501174214842235,0.09720638902325746","-0.8309544435461265,0.7389942519738115","-2.669203814165787,2.235226248257815",#,#,"-3.021186398508016,0.6673889940565629",#,"-3.4081294620473215,1.467173333277095","-2.3254479866535696,5.480761452428588",#,1,0.004490222512452931,997.3961788360864,13.338464247857733,0.02368486178718356,1,146.47153087725752,4985,1380,0.6,9.512207569034465e-06,842,1196
"0.7057881186119959,2.129301946693614",#,"-1.898271161874478,0.09415355098511025",#,"-2.140126495721561,1.2064593051190904",#,"-2.688300572407724,3.083994118515716","-3.5599827520805927,4.132161658320153",#,#,1,0.0009735458972323083,3.7823312982331694,18.159985256067827,0.005063170380710749,2,125.33725929567379,4988,1385,0.5,0.00042343427398027313,94,425
"0.7057881186119959,2.129301946693614",#,"-2.5470715931935533,2.2040950297793107",#,#,#,"-2.688300572407724,3.083994118515716","-3.5599827520805927,4.132161658320153",#,#,1,0.014072536474948764,0.07492935706047996,0.634437489047844,1.0,1,123.91665425244284,4988,1414,0.4,7.468807227699535e-06,204,896
"-1.0501174214842235,0.09720638902325746","-0.8309544435461265,0.7389942519738115",#,#,#,"-3.338416416532494,0.6673889940565629",#,"-3.4081294620473215,1.467173333277095","-2.3254479866535696,5.480761452428588",#,0,0.0012423130939797637,153.11657042068484,243.80993618896446,1.1607615024707026e-08,1,148.74592306713652,4976,1419,0.5,8.539599202193357e-06,356,1192
#,"-0.8309544435461265,0.7389942519738115",#,#,#,#,#,"-1.6381447200691852,1.467173333277095","-2.3254479866535696,5.480761452428588","-3.7312202908029857,4.641064357476338",1,0.005169509169705612,982.1678208358613,55.31786827424071,1.9305134019684367e-05,1,144.94898683724216,4985,1419,0.4,9.048610438333778e-06,1092,1775
#,"0.11592188891091926,1.3991159021723665","-2.663169725230198,0.5994328016376627","-2.066026671642698,4.352643832706456","-2.6571428822818106,0.27111969345375964","-0.8031763977304599,2.815085708817577",#,"-4.3520302347941415,3.601269008388594","-5.386514439704332,1.3354992439497484",#,0,0.00013477394416771854,576.7923858132352,427.75893299812947,6.98239737100124e-10,1,111.06087741829168,4986,1467,0.7,0.0006775750655968854,94,211
"-0.7697895102747482,0.5462583900132446","0.12580614592918837,3.3081509031347935","-3.385416624081514,2.673593986351743","-2.8650391915335525,3.8731192824077887",#,#,"-3.14379163245686,3.114795338961407",#,#,#,0,0.0008314938664043216,838.5432727073506,245.29120232248695,1.1261341798596146e-08,1,99.26495809479212,4982,1467,0.5,9.816104370778886e-05,477,750
"-1.3452845581345745,-0.6277190756773812",#,"-1.3282086510378885,3.507561037036661","-2.8650391915335525,4.352643832706456",#,"-2.173861242538027,4.259700488679263",#,#,"-3.8250924556854105,3.7642778323111323",#,1,0.013012710558949524,999.6891679440871,2.0581080052126017,1.0,1,162.42208966191544,4985,1470,0.5,9.528532566453397e-06,1078,1443
"-0.7697895102747482,-0.6277190756773812","-0.05753363632263264,0.6867593060121407",#,"-2.8650391915335525,3.8731192824077887","-2.6571428822818106,0.27111969345375964",#,#,#,"-3.8250924556854105,3.7642778323111323",#,0,0.10480528065100556,0.0,0.0,1.0,1,114.89350400000001,3736,1483,0.5,6.924956441631889e-06,10,51
"0.7457644104934167,2.129301946693614","-3.0765979479840495,0.7959421676317979","-2.5470715931935533,2.2040950297793107","-3.3143499019047233,2.8757458811901504",#,#,"-2.688300572407724,-0.628052705536899","-3.5599827520805927,4.132161658320153","-4.1104229813745725,0.3347796158805454",#,1,0.00045531231822636196,96.60446509250193,179.70633672247695,5.335597294208389e-08,1,147.9030199616845,4676,1492,0.7,0.00026709754450995264,26,89
#,"-0.16747415192637072,2.3444437609055298",#,#,#,#,#,#,#,"-3.70663807051699,2.715936454190438",1,0.00024334709173198237,509.7455963269558,435.77596459285826,6.363318123702779e-10,2,130.5506805866594,4998,1515,0.2,0.0007703302493205382,668,1635
"-0.4182848791570907,0.7965285672625948",#,"-0.26943359500623276,1.9528862770294617",#,#,#,#,#,"-2.6891514116357977,1.2960367865271802","-3.70663807051699,2.715936454190438",1,0.027077095367629145,5.928554968950593e-07,1.1096278716885853e-05,1.0,1,131.2483644899807,4998,1515,0.4,8.096181990348996e-06,93,334
"-0.7697895102747482,0.5462583900132446",#,"-3.385416624081514,2.673593986351743",#,#,#,#,#,#,#,0,0.00046221865857738205,836.4908819074386,272.93619843251554,6.602285628574399e-09,1,93.15880362970908,4982,1529,0.2,0.00010708856047236439,788,1585
#,"0.12580614592918837,3.3081509031347935","-3.385416624081514,2.673593986351743","-2.8650391915335525,4.352643832706456",#,#,"-3.14379163245686,3.114795338961407","-4.599870145348845,3.601269008388594",#,#,0,0.006876152304508347,909.6332728347797,165.45299265538566,8.065417725060881e-08,1,109.91238502828749,4999,1529,0.5,6.352182385034877e-06,789,1258
"-1.5805761328706307,0.2842151128984388","-2.139148345923748,0.6867593060121407",#,"-3.0910592128425805,2.772558905028711",#,#,"-0.63670489214139,2.746315092409025",#,"-3.4655671893539464,5.480761452428588",#,1,7.06604843326542e-05,970.7973567587653,80.3378482538073,2.988126797890216e-06,1,145.3268041865271,4969,1533,0.5,0.0005798895740850992,967,1416
#,#,"-2.5470715931935533,2.2040950297793107","-3.3143499019047233,2.8757458811901504",#,#,"-2.688300572407724,3.083994118515716",#,#,#,1,2.9580617911646193e-06,681.8860147567509,356.8908914327358,1.7271206621409624e-09,1,137.05837884578017,4998,1535,0.3,0.008196813683919146,1672,3349
"0.7057881186119959,2.129301946693614","-3.875473980142656,0.7959421676317979",#,#,#,#,#,"-3.5599827520805927,4.132161658320153",#,#,1,0.03686363186768663,0.191043023576623,1.4666832480628642,1.0,3,129.04204688423107,4951,1535,0.3,2.33331874135979e-05,168,714
"-1.5805761328706307,0.2842151128984388","-2.139148345923748,0.22387860687957295",#,"-2.935693770748367,2.772558905028711","-0.327233865249291,2.4336994204442464",#,#,"-2.717787236416353,1.0481723639327476","-3.4655671893539464,4.3406422497282104","-3.70663807051699,2.715936454190438",1,0.002059900393661362,991.2039050851834,31.66596729393145,0.0003140770518213769,1,150.17856462519785,4985,1549,0.7,9.179665309111634e-06,644,913
"-1.3452845581345745,-0.6277190756773812","-2.139148345923748,1.033397710927809","-1.3282086510378885,2.673593986351743","-2.8650391915335525,4.352643832706456","-1.1466811285651661,2.032575382233453",#,#,#,#,#,0,0.06233685200035967,102.40002114203006,143.3603132680747,1.6514114572692818e-07,15,178.38955534860602,4976,1552,0.5,0.0001615947172692323,328,1300
